country_name,area,population,literacy,
afghanistan,647500,31056997,"36,0",47.96447413
albania,28748,3581655,"86,5",124.5879713
algeria,2381740,32930091,"70,0",13.82606456
argentina,2766890,39921833,"97,1",14.42841349
armenia,29800,2976372,"98,6",99.87825503
australia,7686850,20264082,"100,0",2.636201045
austria,83870,8192880,"98,0",97.6854656
azerbaijan,86600,7961619,"97,0",91.93555427
bahrain,665,698585,"89,1",1050.503759
bangladesh,144000,147365352,"43,1",1023.3705
belarus,207600,10293011,"99,6",49.58097784
belgium,30528,10379067,"98,0",339.9851612
benin,112620,7862944,"40,9",69.81836264
bolivia,1098580,8989046,"87,2",8.182422764
botswana,600370,1639833,"79,8",2.731370655
brazil,8511965,188078227,"86,4",22.09574722
bulgaria,110910,7385367,"98,6",66.58882878
burkina faso,274200,13902972,"26,6",50.70376368
burundi,27830,8090068,"51,6",290.6959396
cambodia,181040,13881427,"69,4",76.67602187
cameroon,475440,17340702,"79,0",36.47295558
canada,9984670,33098932,"97,0",3.314975057
chad,1284000,9944201,"47,5",7.744704829
chile,756950,16134219,"96,2",21.31477508
china,9596960,1313973713,"90,9",136.9156184
colombia,1138910,43593035,"92,5",38.27610171
comoros,2170,690948,"56,5",318.4092166
costa rica,51100,4075261,"96,0",79.7507045
croatia,56542,4494749,"98,5",79.49398677
cyprus,9250,784301,"97,6",84.7892973
czech republic,78866,10235455,"99,9",129.7828595
denmark,43094,5450661,"100,0",126.4830603
dominican republic,48730,9183984,"84,7",188.4667351
ecuador,283560,13547510,"92,5",47.77651996
egypt,1001450,78887007,"57,7",78.77278646
el salvador,21040,6822378,"80,2",324.2575095
estonia,45226,1324333,"99,8",29.28255871
ethiopia,1127127,74777981,"42,7",66.34388228
finland,338145,5231372,"100,0",15.47079507
france,547030,60876136,"99,0",111.2848217
gabon,267667,1424906,"63,2",5.323427991
georgia,69700,4661473,"99,0",66.87909613
germany,357021,82422299,"99,0",230.861207
ghana,239460,22409572,"74,8",93.58378017
greece,131940,10688058,"97,5",81.00695771
guatemala,108890,12293545,"70,6",112.898751
guinea,245857,9690222,"35,9",39.41405777
haiti,27750,8308504,"52,9",299.4055495
honduras,112090,7326496,"76,2",65.36261932
hungary,93030,9981334,"99,4",107.2915619
