country,happiness_score,social_support,healthy_life_expectancy,freedom_of_choices,generosity,perception_of_corruption,world_region
Afghanistan,2.566900015,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,South Asia
Albania,4.882699966,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,Central and Eastern Europe
Algeria,5.005099773,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,Middle East and North Africa
Argentina,5.974699974,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,Latin America and Caribbean
Armenia,4.676799774,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,Commonwealth of Independent States
Australia,7.222799778,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,North America and ANZ
Austria,7.294199944,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,Western Europe
Azerbaijan,5.164800167,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,Commonwealth of Independent States
Bahrain,6.227300167,0.876342118,68.5,0.905855775,0.13372919,0.7393471,Middle East and North Africa
Bangladesh,4.832799911,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,South Asia
Belarus,5.539899826,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,Commonwealth of Independent States
Belgium,6.863500118,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,Western Europe
Benin,5.21600008,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,Sub-Saharan Africa
Bolivia,5.747499943,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,Latin America and Caribbean
Botswana,3.478899956,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,Sub-Saharan Africa
Brazil,6.375599861,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,Latin America and Caribbean
Bulgaria,5.101500034,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,Central and Eastern Europe
Burkina Faso,4.768700123,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,Sub-Saharan Africa
Burundi,3.775300026,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,Sub-Saharan Africa
Cambodia,4.848400116,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,Southeast Asia
Cameroon,5.084899902,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,Sub-Saharan Africa
Canada,7.23210001,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,North America and ANZ
Chad,4.422699928,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,Sub-Saharan Africa
Chile,6.228499889,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,Latin America and Caribbean
China,5.123899937,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,East Asia
Colombia,6.163400173,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,Latin America and Caribbean
Comoros,4.288599968,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602,Sub-Saharan Africa
Costa Rica,7.121399879,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,Latin America and Caribbean
Croatia,5.504700184,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,Central and Eastern Europe
Cyprus,6.15899992,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,Western Europe
Czech Republic,6.910900116,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,Central and Eastern Europe
Denmark,7.645599842,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,Western Europe
Dominican Republic,5.689199924,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,Latin America and Caribbean
Ecuador,5.925199986,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,Latin America and Caribbean
Egypt,4.151400089,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,Middle East and North Africa
El Salvador,6.34829998,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,Latin America and Caribbean
Estonia,6.021800041,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,Central and Eastern Europe
Ethiopia,4.186200142,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,Sub-Saharan Africa
Finland,7.808700085,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,Western Europe
France,6.663799763,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,Western Europe
